,0
22.0,0.14526711942736806
26.0,0.09854900490793289
30.0,0.07858905939930315
34.0,0.04801888466281552
38.0,0.04364477393206496
42.0,0.038583620090155306
46.0,0.021032799865506706
50.0,0.018017552241405103
54.0,0.012288263794451061
58.0,0.011208311530490038
62.0,0.0066254561853039285
66.0,0.007468189166245472
70.0,0.004073595384621511
74.0,0.004412835588990519
78.0,0.006263151122691255
82.0,-0.004810691007569755
86.0,-0.00373327781363876
90.0,-0.0017001775103838701
94.0,0.005743777871431839
98.0,0.002671823257323958
102.0,0.003541773379916349
106.0,0.0007935471755437165
110.0,0.0011929038577073827
114.0,0.0007650410841574313
118.0,0.0018638629047915765
122.0,0.0003771354078429516
126.0,-0.001815089099885247
130.0,-0.001904244440953918
134.0,0.0031203930330642245
138.0,0.002283826458508071
142.0,0.002228415260154033
146.0,-0.0013292139773984706
150.0,3.4391860026105666e-05
154.0,-0.002280835411868604
158.0,0.0004150714536537183
162.0,-0.0010695615333744634
166.0,0.001033957041289296
170.0,-0.0002722969204541126
174.0,-0.0008166278833015262
178.0,-0.0017354002097440036
182.0,-0.00015733925054729238
186.0,0.0007162717981571025
190.0,-7.280252003848795e-05
194.0,-7.824605636952466e-05
198.0,-0.0003859813371672554
