,0
22.0,0.2353977346684287
26.0,0.1314683146332131
30.0,0.08064874995540455
34.0,0.06317890005973643
38.0,0.03897175250262872
42.0,0.036454650107906175
46.0,0.024041640399657806
50.0,0.018572120962322514
54.0,0.007586205128316695
58.0,0.013348863359698596
62.0,0.004684269993262097
66.0,0.0031291555446245427
70.0,-0.0004848041659717697
74.0,-0.015709160347018997
78.0,-0.017106826499958556
82.0,-0.0106072437335625
86.0,-0.003389274120988538
90.0,-0.004721429809588457
94.0,0.000682965837497559
98.0,0.004337677956191907
102.0,0.0073434261749136835
106.0,0.004561085292895463
110.0,0.001871996074396843
114.0,0.0024909704231636074
118.0,0.003346915385367659
122.0,0.000977608680947413
126.0,0.0013330723833846793
130.0,-0.0008410468481266197
134.0,0.0006164113013319231
138.0,0.0035002906441619144
142.0,-0.0017383642951726607
146.0,-0.000663980075150142
150.0,-0.0015841007932085264
154.0,-0.002432767754379057
158.0,-9.170613657358959e-05
162.0,-0.0020023636246975177
166.0,-0.0020004970352707494
170.0,0.0005755757615569818
174.0,0.00038339924429550736
178.0,0.0026667992088846267
182.0,0.00016223192405545754
186.0,6.930302058458263e-05
190.0,-0.0006771269108214199
194.0,-0.002522637959131154
198.0,0.0034526369698458124
