,0
22.0,0.14562228217636458
26.0,0.10583450825375323
30.0,0.07348624512650334
34.0,0.05387156334219376
38.0,0.03950769376023573
42.0,0.028925254744355963
46.0,0.023444172480534337
50.0,0.01806080056646786
54.0,0.015525494337359332
58.0,0.012750565343770746
62.0,0.010234860665880665
66.0,0.008562443963821657
70.0,0.006838788188923729
74.0,0.0056885744158303286
78.0,0.0051392946173588715
82.0,0.005094468937895401
86.0,0.004033833173894444
90.0,0.003917220671830489
94.0,0.0051748584497178915
98.0,0.0041450138403930584
102.0,0.004001039154473703
106.0,0.002993957493023484
110.0,0.0025786031033356843
114.0,0.002020166892787638
118.0,0.0014075345801461939
122.0,-5.856779869162251e-05
126.0,-0.0009421456632672322
130.0,-0.0008770512327443984
134.0,-0.000861073446710888
138.0,4.32308325862745e-05
142.0,-0.00014590919064679805
146.0,0.0009403104566508267
150.0,0.000785596818453974
154.0,0.0014314398604441947
158.0,0.0008681362069973622
162.0,0.0011616007954909854
166.0,0.0015525421617099168
170.0,0.0005013883519839455
174.0,-0.0002466163390128857
178.0,-0.0010454859140599515
182.0,-0.001347718111252286
186.0,-0.001145675645594015
190.0,-0.0017091859905240569
194.0,-0.0017762232941959887
198.0,-0.0012303488864833848
